Songliao Basin geochemical records,,,,,,
Depth (m),TOC,TN,TOC/12,TN/14,C/N,¦Ä13Corg
1725,1.9,0.24,0.15863377,0.01724285,9.199974059,-29.41
1726,3.35,0.32,0.279093082,0.022601439,12.34846515,-29.925
1727,2.68,0.34,0.223656416,0.024120758,9.27236256,-30.059
1728,2.69,0.33,0.22413109,0.023899312,9.378139905,-30.463
1729,2.7,0.34,0.225138543,0.023958027,9.397207237,-30.562
1730,2.27,0.33,0.188790753,0.023601611,7.999062116,-30.457
1731,3.66,0.32,0.305199948,0.022825892,13.37077854,-30.154
1732,2.61,0.31,0.217138012,0.021946024,9.894184534,-30.7
1733,2.75,0.32,0.22908724,0.02301308,9.954653835,-30.449
1734,2.94,0.39,0.245331792,0.02809243,8.733021289,-31.032
1735,2.94,0.34,0.245030303,0.02402772,10.19781727,-30.524
1736,3.31,0.27,0.275420947,0.01909137,14.42646324,-31.08
1737,3.58,0.28,0.298041724,0.019893724,14.98169557,-31.829
1738,2.53,0.24,0.210776158,0.017287346,12.19251102,-31.658
1739,3.12,0.3,0.260151795,0.021749581,11.96123249,-30.202
1740,4.05,0.32,0.337479351,0.022735915,14.84344707,-30.459
1741,4.29,0.3,0.357433647,0.021652614,16.50764442,-30.448
1742,2.75,0.25,0.229488261,0.017741701,12.9349637,-30.423
1743,2.63,0.27,0.219285111,0.019021109,11.52851328,-30.739
1744,2.78,0.31,0.231786311,0.022088342,10.49360385,-30.527
1745,2.86,0.35,0.238295135,0.024827422,9.598062049,-31.102
1746,3.57,0.25,0.297733631,0.018141887,16.41139277,-31.93
1747,3.94,0.32,0.328525641,0.022786371,14.4176378,-31.313
1748,4.48,0.3,0.373103772,0.021687265,17.20381826,-31.065
1749,3.69,0.25,0.307908861,0.018055871,17.05311572,-31.003
1750,3.9,0.22,0.324725126,0.015433078,21.04085357,-30.804
1751,3.78,0.25,0.314915963,0.017837338,17.65487427,-30.811
1752,1.41,0.17,0.117376913,0.011940715,9.829973744,-29.261
1753,2.13,0.24,0.177843724,0.017288544,10.28679597,-29.721
1754,2.2,0.25,0.183638524,0.01771256,10.36770106,-29.695
1755,1.94,0.3,0.161285788,0.021620237,7.459945328,-28.985
1756,2.17,0.31,0.181040682,0.021827551,8.294136223,-29.471
1757,2,0.29,0.166516211,0.020388634,8.167109677,-28.979
1758,4.56,0.24,0.379816683,0.017390339,21.84067145,-30.356
1759,7.04,0.34,0.586761006,0.024303727,24.14284105,-30.932
1760,5.76,0.32,0.480327299,0.02320723,20.69731268,-30.412
1761,3.61,0.25,0.300463594,0.017833291,16.84846599,-30.573
1762,3.98,0.31,0.331984308,0.021836623,15.20309773,-30.422
1763,3.44,0.27,0.286679242,0.01904208,15.05503821,-30.228
1764,4,0.32,0.333516593,0.022918557,14.55225109,-29.751
1765,3.03,0.25,0.252669628,0.018117806,13.94592826,-29.942
1766,4,0.22,0.333676377,0.015511188,21.51198137,-29.79
1767,2.82,0.26,0.234929627,0.018240889,12.87928612,-29.508
1768,3.12,0.31,0.260377367,0.022155844,11.75208528,-29.647
1769,5.03,0.27,0.419339049,0.019509505,21.49408975,-28.821
1770,3.84,0.3,0.320407103,0.02172232,14.75013297,-29.587
1771,3.2,0.27,0.266875,0.019266896,13.85147847,-29.48
1772,3.15,0.22,0.262216031,0.015521783,16.89342167,-29.374
1773,3.3,0.22,0.274645543,0.015690054,17.50443535,-29.185
1774,2.89,0.24,0.240580686,0.017312835,13.89608807,-29.407
1775,2.57,0.25,0.214032811,0.018170618,11.77906031,-28.885
1776,2.44,0.19,0.203581178,0.013895934,14.65041315,-29.073
1777,1.85,0.2,0.15431033,0.014003318,11.01955467,-29.08
1778,3.25,0.24,0.271235792,0.017243876,15.72939851,-28.76
1779,4.11,0.22,0.34244163,0.0154138,22.21656045,-29.217
1780,2.55,0.17,0.212207364,0.011911738,17.81497945,-28.853
1781,1.52,0.16,0.12651901,0.011624601,10.88372935,-27.804
1782,1.5,0.17,0.124920385,0.011956516,10.44789136,-29.336
