depth_m,d13C_VPDB,d18O_VPDB
15.45,1.78,-1.51
15.6,1.95,-1.29
15.75,1.83,-1.56
15.9,1.92,-1.71
16.05,2,-1.57
16.2,2,-1.59
16.35,1.9,-1.47
16.5,2.18,-0.96
16.65,2.01,-1.45
16.8,1.93,-1.53
16.95,2.03,-1.48
17.1,1.89,-1.47
17.25,1.99,-1.6
17.4,1.89,-1.33
17.55,1.94,-1.26
17.7,1.88,-1.48
17.85,1.9,-1.45
18,1.86,-1.39
18.15,1.91,-1.66
18.3,1.92,-1.39
18.45,1.93,-1.44
18.6,1.91,-1.41
18.75,1.99,-1.49
18.9,1.9,-1.4
19.05,1.97,-1.54
19.2,1.97,-1.41
19.35,1.93,-1.35
19.5,2.14,-1.15
19.65,2.1,-1.38
19.8,2,-1.55
19.95,2.2,-1.45
20.1,2.23,-1.12
20.25,1.96,-1.43
20.4,2.06,-1.52
20.55,2.07,-1.44
20.7,2.03,-1.42
20.85,2.04,-1.45
21,2.09,-1.44
21.15,2.04,-1.35
21.3,1.92,-1.41
21.45,2.08,-1.4
21.6,2.14,-1.39
21.75,2.19,-1.23
21.9,2.2,-1.32
22,2.11,-1.15
22.05,2.12,-1.49
22.2,2.17,-1.07
22.35,2.23,-1.05
22.4,2.06,-1.02
22.5,2.16,-1.2
22.6,2.09,-0.99
22.65,2.06,-1.2
22.8,2.06,-0.71
22.95,2.15,-1.3
23,2.08,-1.19
23.1,2.11,-1.24
23.2,2.05,-1.05
23.25,2.1,-1.27
23.4,2.17,-1.04
23.55,2.12,-1.35
23.6,2.1,-1.2
23.7,2.04,-1.39
23.8,2.1,-1.24
23.85,2.17,-1.38
24,2.11,-1.26
24.05,2.15,-1.11
24.2,2.09,-1.49
24.35,2.17,-1.19
24.5,2.1,-1.34
24.65,2.13,-1.35
24.8,2.18,-1.25
24.95,2.17,-1.14
25.1,2.22,-1.22
25.25,2.2,-1.23
25.4,2.24,-1.21
25.55,2.14,-1.39
25.7,2.19,-1.29
25.85,2.26,-1.33
26,2.28,-1.31
26.15,2.17,-1.53
26.3,2.33,-1.39
26.45,2.24,-1.36
26.6,2.22,-1.65
26.75,2.11,-1.61
26.9,2.21,-1.32
27.05,2.17,-1.34
27.2,2.21,-1.46
27.35,2.32,-1.26
27.5,2.2,-1.52
27.65,2.23,-1.57
27.8,2.27,-1.45
27.95,2.26,-1.41
28.1,2.22,-1.47
28.25,2.43,-1.37
28.4,2.08,-1.41
28.55,2.24,-1.42
28.7,2.43,-1.11
28.85,2.23,-1.42
29,2.32,-1.47
29.15,2.32,-1.49
29.3,2.26,-1.29
29.45,2.31,-1.31
29.6,2.33,-1.48
29.75,2.29,-1.28
29.9,2.34,-1.17
30.05,2.22,-1.5
30.2,2.2,-1.35
30.35,2.28,-1.47
30.5,2.4,-1.21
30.65,2.25,-1.34
30.8,2.23,-1.49
30.95,2.26,-1.36
31.1,2.24,-1.44
