Depth_m,FMI_ohm-m
2077.65925022859,11.73326
2077.68972874124,59.9495875
2077.72020725389,62.52700625
2077.75068576654,61.1214575
2077.78116427918,53.914305
2077.81164279183,15.4512075
2077.84212130448,31.04175375
2077.87259981713,22.0530475
2077.90307832978,56.83364125
2077.93355684243,52.856015
2077.96403535507,45.56836875
2077.99451386772,40.02293
2078.02499238037,12.77216625
2078.05547089302,56.709235
2078.08594940567,59.45874875
2078.11642791832,60.67223875
2078.14690643097,59.7480675
2078.17738494361,60.63908
2078.20786345626,61.44504375
2078.23834196891,61.6630075
2078.26882048156,56.5384825
2078.29929899421,55.88313
2078.32977750686,47.97087
2078.36025601951,33.27484375
2078.39073453215,58.2342275
2078.4212130448,60.38531
2078.45169155745,59.72001375
2078.4821700701,55.8432875
2078.51264858275,27.61809875
2078.5431270954,54.7896075
2078.57360560805,15.24481375
2078.60408412069,16.336815
2078.63456263334,50.4001475
2078.66504114599,50.3492675
2078.69551965864,30.06330125
2078.72599817129,40.72999125
2078.75647668394,24.05343
2078.78695519659,42.59230875
2078.81743370924,35.72221125
2078.84791222188,49.9138375
2078.87839073453,29.86093875
2078.90886924718,17.5013525
2078.93934775983,7.63838375
2078.96982627248,11.251155
2079.00030478513,35.6844575
2079.03078329778,18.686715
2079.06126181042,15.98113625
2079.09174032307,32.7920625
2079.12221883572,30.03951
2079.15269734837,33.9806275
2079.18317586102,48.35815625
2079.21365437367,48.55193
2079.24413288632,50.9909625
2079.27461139896,46.72264
2079.30508991161,9.22055375
2079.33556842426,12.25632625
2079.36604693691,6.821405
2079.39652544956,9.70713125
2079.42700396221,25.39542375
2079.45748247486,27.56742125
2079.4879609875,19.84462125
2079.51843950015,39.226045
2079.5489180128,44.91559
2079.57939652545,13.72296375
2079.6098750381,47.762515
2079.64035355075,47.13334125
2079.6708320634,33.1624825
2079.70131057604,25.045095
2079.73178908869,12.9295575
2079.76226760134,18.80594875
2079.79274611399,16.6406525
2079.82322462664,36.57513625
2079.85370313929,35.9408575
2079.88418165194,25.82282875
2079.91466016458,36.26355375
2079.94513867723,23.86345375
2079.97561718988,20.47948625
2080.00609570253,17.965655
2080.03657421518,14.4546225
2080.06705272783,29.16694375
2080.09753124048,27.063695
2080.12800975312,34.13108
2080.15848826577,24.7637825
2080.18896677842,39.39677875
2080.21944529107,33.30190625
2080.24992380372,22.9029575
2080.28040231637,19.3373425
2080.31088082902,20.76642375
2080.34135934166,33.83986375
2080.37183785431,22.594815
2080.40231636696,18.76255875
2080.43279487961,17.4649825
2080.46327339226,12.4831575
2080.49375190491,9.6718075
2080.52423041756,14.80192625
2080.5547089302,26.53836875
2080.58518744285,26.3184575
2080.6156659555,23.40346
2080.64614446815,27.07498
2080.6766229808,24.24729375
2080.70710149345,22.54183375
2080.7375800061,16.51472625
2080.76805851874,20.2415225
2080.79853703139,18.11604125
2080.82901554404,31.741915
2080.85949405669,32.87663125
2080.88997256934,22.88581625
2080.92045108199,19.68458375
2080.95092959464,17.61596
2080.98140810728,22.53361
2081.01188661993,26.66086125
2081.04236513258,19.20752
2081.07284364523,12.24373
2081.10332215788,27.447525
2081.13380067053,45.714485
2081.16427918318,44.2195975
2081.19475769582,41.900035
2081.22523620847,26.47690375
2081.25571472112,14.17974875
2081.28619323377,18.65407875
2081.31667174642,18.33017625
2081.34715025907,22.88724
2081.37762877172,24.4844625
2081.40810728436,27.5704225
2081.43858579701,30.97992375
2081.46906430966,38.26269
2081.49954282231,37.07969625
2081.53002133496,27.24736
2081.56049984761,34.89839125
2081.59097836026,37.8582625
2081.6214568729,23.11796875
2081.65193538555,24.3025675
2081.6824138982,18.05633125
2081.71289241085,21.40949375
2081.7433709235,13.41037375
2081.77384943615,15.94026875
2081.8043279488,20.0464975
2081.83480646144,25.38096125
2081.86528497409,37.6358725
2081.89576348674,24.52546
2081.92624199939,21.58257
2081.95672051204,24.34088875
2081.98719902469,25.2437
2082.01767753734,23.0379975
2082.04815604998,22.2249825
2082.07863456263,20.54710625
2082.10911307528,19.4046475
2082.13959158793,9.35961625
2082.17007010058,18.4207225
2082.20054861323,36.75474
2082.23102712588,38.28924375
2082.26150563853,28.6840425
2082.29198415117,30.43078125
2082.32246266382,35.72157375
2082.35294117647,38.71577
2082.38341968912,26.69594
2082.41389820177,22.36534125
2082.44437671442,21.927595
2082.47485522707,18.5087375
2082.50533373971,14.13105375
2082.53581225236,32.33701375
2082.56629076501,39.55846375
2082.59676927766,40.19320375
2082.62724779031,39.85442125
2082.65772630296,36.09092
2082.68820481561,12.5592225
2082.71868332825,43.0146075
2082.7491618409,14.2262825
2082.77964035355,40.5944425
2082.8101188662,40.90147875
2082.84059737885,41.56762375
2082.8710758915,44.58380625
2082.90155440415,46.10951
2082.93203291679,46.60758
2082.96251142944,46.0303525
2082.99298994209,46.6620875
2083.02346845474,36.839645
2083.05394696739,35.13466875
2083.08442548004,19.89488875
2083.11490399269,24.71540625
2083.14538250533,19.32489625
2083.17586101798,11.633855
2083.20633953063,21.133965
2083.23681804328,18.22079625
2083.26729655593,21.4136875
2083.29777506858,26.59754875
2083.32825358123,31.76130875
2083.35873209387,24.1389025
2083.38921060652,16.82907875
2083.41968911917,15.32307125
2083.45016763182,13.5666975
2083.48064614447,18.73076125
2083.51112465712,19.44242125
2083.54160316977,14.61013125
2083.57208168241,25.05732375
2083.60256019506,28.677745
2083.63303870771,15.5922975
2083.66351722036,7.4784775
2083.69399573301,20.12217
2083.72447424566,17.81365125
2083.75495275831,17.3717925
2083.78543127095,23.08368875
2083.8159097836,19.53545875
2083.84638829625,27.23944875
2083.8768668089,21.62324625
2083.90734532155,23.09451375
2083.9378238342,22.75399375
2083.96830234685,22.056595
2083.99878085949,20.65649
2084.02925937214,22.61311125
2084.05973788479,16.2461975
2084.09021639744,18.04813375
2084.12069491009,6.9069275
2084.15117342274,6.00435375
2084.18165193539,9.67333125
2084.21213044803,19.06798625
2084.24260896068,18.02814125
2084.27308747333,19.67375875
2084.30356598598,25.34261375
2084.33404449863,24.81669875
2084.36452301128,25.53816375
2084.39500152393,23.29504
2084.42548003657,23.520565
2084.45595854922,19.22665375
2084.48643706187,26.00142625
2084.51691557452,24.85466
2084.54739408717,22.03439375
2084.57787259982,25.59208625
2084.60835111247,24.4695875
2084.63882962511,16.50808375
2084.66930813776,15.876245
2084.69978665041,14.4526125
2084.73026516306,21.95477375
2084.76074367571,26.21655375
2084.79122218836,19.30213625
2084.82170070101,20.3011675
2084.85217921365,21.5553675
2084.8826577263,36.7085425
2084.91313623895,36.59341875
2084.9436147516,30.24503875
2084.97409326425,25.55297875
2085.0045717769,15.9694825
2085.03505028955,16.1492325
2085.06552880219,16.9795975
2085.09600731484,21.13413875
2085.12648582749,32.43320625
2085.15696434014,22.67415375
2085.18744285279,25.08409875
2085.21792136544,33.09666
2085.24839987809,30.97146625
2085.27887839073,22.57607
2085.30935690338,27.0119925
2085.33983541603,24.3575075
2085.37031392868,9.910815
2085.40079244133,26.468505
2085.43127095398,28.94263625
2085.46174946663,23.23405625
2085.49222797927,34.9346275
2085.52270649192,33.5434375
2085.55318500457,45.36405375
2085.58366351722,44.77651875
2085.61414202987,46.699205
2085.64462054252,36.71914625
2085.67509905517,22.70965375
2085.70557756781,19.87604
2085.73605608046,20.1788875
2085.76653459311,32.7514475
2085.79701310576,43.23236
2085.82749161841,44.85620625
2085.85797013106,43.88834
2085.88844864371,44.68364625
2085.91892715635,44.514615
2085.949405669,42.73491375
2085.97988418165,31.15870875
2086.0103626943,48.11876125
2086.04084120695,42.98684375
2086.0713197196,44.9290025
2086.10179823225,12.83445875
2086.1322767449,21.27273375
2086.16275525754,30.06645125
2086.19323377019,31.857665
2086.22371228284,39.12122875
2086.25419079549,27.41063625
2086.28466930814,34.61751125
2086.31514782079,33.3532575
2086.34562633344,29.066435
2086.37610484608,22.069095
2086.40658335873,20.00733125
2086.43706187138,12.34215
2086.46754038403,35.57748625
2086.49801889668,38.52736375
2086.52849740933,10.17458
2086.55897592197,22.54844375
2086.58945443462,31.93690625
2086.61993294727,32.69187125
2086.65041145992,36.70143625
2086.68088997257,31.142885
2086.71136848522,15.7406825
2086.74184699787,19.03251875
2086.77232551051,10.600365
