Depth,Floating Long Eccentricity, Anchoring to D.b.ash,Anchoring to D.e. ash,Anchoring to C.v. ash,Anchoring to S.d. ash,Anchoring to S.p. ash (nominal age model)
2081.042365,1475.19854940243,83991.1207267934,83893.1316627322,83752.9268923444,84011.1125605263,83932.6105889354
2081.072844,1477.9055658498,83993.8277432408,83895.8386791795,83755.6339087918,84013.8195769737,83935.3176053828
2081.103322,1480.61249348139,83996.5346708724,83898.5456068111,83758.3408364234,84016.5265046053,83938.0245330144
2081.133801,1483.31950992876,83999.2416873197,83901.2526232585,83761.0478528708,84019.2335210526,83940.7315494617
2081.164279,1486.02643756035,84001.9486149513,83903.9595508901,83763.7547805024,84021.9404486842,83943.4384770933
2081.194758,1488.73345400772,84004.6556313987,83906.6665673375,83766.4617969497,84024.6474651316,83946.1454935407
2081.225236,1491.44038163931,84007.3625590303,83909.373494969,83769.1687245813,84027.3543927632,83948.8524211723
2081.255715,1494.14739808664,84010.0695754776,83912.0805114164,83771.8757410287,84030.0614092105,83951.5594376196
2081.286193,1496.85432571823,84012.7765031092,83914.787439048,83774.5826686603,84032.7683368421,83954.2663652512
2081.316672,1499.5613421656,84015.4835195566,83917.4944554953,83777.2896851076,84035.4753532895,83956.9733816986
2081.34715,1502.26826979719,84018.1904471882,83920.2013831269,83779.9966127392,84038.1822809211,83959.6803093302
2081.377629,1504.97528624456,84020.8974636355,83922.9083995743,83782.7036291866,84040.8892973684,83962.3873257775
2081.408107,1507.68221387615,84023.6043912671,83925.6153272059,83785.4105568182,84043.596225,83965.0942534091
2081.438586,1510.38923032352,84026.3114077145,83928.3223436533,83788.1175732655,84046.3032414474,83967.8012698565
2081.469064,1513.09615795507,84029.018335346,83931.0292712848,83790.8245008971,84049.0101690789,83970.508197488
2081.499543,1515.80317440244,84031.7253517934,83933.7362877322,83793.5315173445,84051.7171855263,83973.2152139354
2081.530021,1518.51010203403,84034.432279425,83936.4432153638,83796.238444976,84054.4241131579,83975.922141567
2081.5605,1521.2171184814,84037.1392958724,83939.1502318111,83798.9454614234,84057.1311296053,83978.6291580144
2081.590978,1523.92404611299,84039.846223504,83941.8571594427,83801.652389055,84059.8380572368,83981.3360856459
2081.621457,1526.63106256036,84042.5532399513,83944.5641758901,83804.3594055024,84062.5450736842,83984.0431020933
2081.651935,1529.33799019191,84045.2601675829,83947.2711035216,83807.0663331339,84065.2520013158,83986.7500297249
2081.682414,1532.04500663928,84047.9671840302,83949.978119969,83809.7733495813,84067.9590177631,83989.4570461722
2081.712892,1534.75193427087,84050.6741116619,83952.6850476006,83812.4802772129,84070.6659453947,83992.1639738038
2081.743371,1537.45895071824,84053.3811281092,83955.392064048,83815.1872936603,84073.3729618421,83994.8709902512
2081.773849,1540.16587834983,84056.0880557408,83958.0989916796,83817.8942212918,84076.0798894737,83997.5779178828
2081.804328,1542.8728947972,84058.7950721882,83960.8060081269,83820.6012377392,84078.7869059211,84000.2849343302
2081.834806,1545.57982242875,84061.5019998197,83963.5129357585,83823.3081653708,84081.4938335526,84002.9918619617
2081.865285,1548.28683887612,84064.2090162671,83966.2199522059,83826.0151818181,84084.20085,84005.6988784091
2081.895763,1550.99376650771,84066.9159438987,83968.9268798374,83828.7221094497,84086.9077776316,84008.4058060407
2081.926242,1553.70078295508,84069.6229603461,83971.6338962848,83831.4291258971,84089.6147940789,84011.112822488
2081.956721,1556.40779940245,84072.3299767934,83974.3409127322,83834.1361423445,84092.3218105263,84013.8198389354
2081.987199,1559.11472703404,84075.036904425,83977.0478403638,83836.8430699761,84095.0287381579,84016.526766567
2082.017678,1561.82174348141,84077.7439208724,83979.7548568111,83839.5500864234,84097.7357546053,84019.2337830144
2082.048156,1564.52867111296,84080.4508485039,83982.4617844427,83842.257014055,84100.4426822368,84021.9407106459
2082.078635,1567.23568756033,84083.1578649513,83985.1688008901,83844.9640305023,84103.1496986842,84024.6477270933
2082.109113,1570.02320274599,84085.945380137,83987.9563160757,83847.751545688,84105.9372138699,84027.435242279
2082.139592,1572.84146644462,84088.7636438356,83990.7745797744,83850.5698093866,84108.7554775685,84030.2535059776
2082.17007,1575.65963767751,84091.5818150685,83993.5927510072,83853.3879806195,84111.5736488014,84033.0716772105
2082.200549,1578.47790137614,84094.4000787671,83996.4110147059,83856.2062443182,84114.3919125,84035.8899409091
2082.231027,1581.29607260899,84097.21825,83999.2291859387,83859.024415551,84117.2100837328,84038.7081121419
2082.261506,1584.11433630762,84100.0365136986,84002.0474496373,83861.8426792496,84120.0283474315,84041.5263758406
2082.291984,1586.93250754051,84102.8546849315,84004.8656208702,83864.6608504825,84122.8465186644,84044.3445470735
2082.322463,1589.75077123914,84105.6729486301,84007.6838845689,83867.4791141812,84125.664782363,84047.1628107721
2082.352941,1592.56894247203,84108.491119863,84010.5020558018,83870.297285414,84128.4829535959,84049.980982005
2082.38342,1595.38720617066,84111.3093835616,84013.3203195004,83873.1155491127,84131.3012172945,84052.7992457036
2082.413898,1598.20537740351,84114.1275547945,84016.1384907332,83875.9337203455,84134.1193885274,84055.6174169365
2082.444377,1601.02364110214,84116.9458184931,84018.9567544319,83878.7519840442,84136.937652226,84058.4356806351
2082.474855,1603.84181233503,84119.763989726,84021.7749256648,83881.570155277,84139.7558234589,84061.253851868
2082.505334,1606.66007603366,84122.5822534246,84024.5931893634,83884.3884189757,84142.5740871575,84064.0721155666
2082.535812,1609.47824726655,84125.4004246575,84027.4113605963,83887.2065902086,84145.3922583904,84066.8902867995
2082.566291,1612.29651096518,84128.2186883562,84030.2296242949,83890.0248539072,84148.210522089,84069.7085504982
2082.596769,1615.11468219807,84131.036859589,84033.0477955278,83892.8430251401,84151.0286933219,84072.526721731
2082.627248,1617.93294589666,84133.8551232876,84035.8660592264,83895.6612888387,84153.8469570205,84075.3449854296
2082.657726,1620.75111712955,84136.6732945205,84038.6842304593,83898.4794600716,84156.6651282534,84078.1631566625
2082.688205,1623.56938082818,84139.4915582192,84041.5024941579,83901.2977237702,84159.483391952,84080.9814203611
2082.718683,1626.38755206107,84142.309729452,84044.3206653908,83904.1158950031,84162.3015631849,84083.799591594
2082.749162,1629.2058157597,84145.1279931507,84047.1389290894,83906.9341587017,84165.1198268836,84086.6178552927
2082.77964,1632.02398699259,84147.9461643836,84049.9571003223,83909.7523299346,84167.9379981165,84089.4360265256
2082.810119,1634.84225069122,84150.7644280822,84052.775364021,83912.5705936332,84170.7562618151,84092.2542902242
2082.840597,1637.66042192407,84153.5825993151,84055.5935352538,83915.3887648661,84173.5744330479,84095.072461457
2082.871076,1640.4786856227,84156.4008630137,84058.4117989524,83918.2070285647,84176.3926967466,84097.8907251557
2082.901554,1643.29685685559,84159.2190342466,84061.2299701853,83921.0251997976,84179.2108679794,84100.7088963885
2082.932033,1646.11512055422,84162.0372979452,84064.048233884,83923.8434634962,84182.0291316781,84103.5271600872
2082.962511,1648.93329178711,84164.8554691781,84066.8664051168,83926.6616347291,84184.847302911,84106.3453313201
2082.99299,1651.75155548574,84167.6737328767,84069.6846688155,83929.4798984278,84187.6655666096,84109.1635950187
2083.023468,1654.56972671859,84170.4919041096,84072.5028400483,83932.2980696606,84190.4837378424,84111.9817662516
2083.053947,1657.38799041722,84173.3101678082,84075.3211037469,83935.1163333592,84193.3020015411,84114.8000299502
2083.084425,1660.20616165011,84176.1283390411,84078.1392749798,83937.9345045921,84196.120172774,84117.6182011831
2083.114904,1663.02442534874,84178.9466027397,84080.9575386785,83940.7527682908,84198.9384364726,84120.4364648817
2083.145383,1665.84268904737,84181.7648664383,84083.7758023771,83943.5710319894,84201.7567001712,84123.2547285803
2083.175861,1668.66086028026,84184.5830376712,84086.59397361,83946.3892032223,84204.5748714041,84126.0728998132
2083.20634,1671.47912397889,84187.4013013699,84089.4122373086,83949.2074669209,84207.3931351028,84128.8911635119
2083.236818,1674.29729521174,84190.2194726027,84092.2304085415,83952.0256381538,84210.2113063356,84131.7093347447
2083.267297,1677.11555891037,84193.0377363013,84095.0486722401,83954.8439018524,84213.0295700342,84134.5275984433
2083.297775,1679.93373014326,84195.8559075342,84097.866843473,83957.6620730853,84215.8477412671,84137.3457696762
2083.328254,1682.75199384189,84198.6741712329,84100.6851071716,83960.4803367839,84218.6660049658,84140.1640333749
2083.358732,1685.57016507478,84201.4923424658,84103.5032784045,83963.2985080168,84221.4841761986,84142.9822046077
2083.389211,1688.38842877341,84204.3106061644,84106.3215421031,83966.1167717154,84224.3024398973,84145.8004683064
2083.419689,1691.20660000626,84207.1287773972,84109.139713336,83968.9349429483,84227.1206111301,84148.6186395392
2083.450168,1694.02486370489,84209.9470410959,84111.9579770346,83971.7532066469,84229.9388748287,84151.4369032379
2083.480646,1696.84303493778,84212.7652123288,84114.7761482675,83974.5713778798,84232.7570460616,84154.2550744707
2083.511125,1699.66129863641,84215.5834760274,84117.5944119661,83977.3896415784,84235.5753097603,84157.0733381694
2083.541603,1702.4794698693,84218.4016472603,84120.412583199,83980.2078128113,84238.3934809932,84159.8915094023
2083.572082,1705.29773356793,84221.2199109589,84123.2308468977,83983.02607651,84241.2117446918,84162.7097731009
2083.60256,1708.11590480078,84224.0380821917,84126.0490181305,83985.8442477428,84244.0299159246,84165.5279443337
2083.633039,1710.93416849941,84226.8563458904,84128.8672818291,83988.6625114414,84246.8481796233,84168.3462080324
2083.663517,1713.7523397323,84229.6745171233,84131.685453062,83991.4806826743,84249.6663508562,84171.1643792653
2083.693996,1716.57060343093,84232.4927808219,84134.5037167607,83994.2989463729,84252.4846145548,84173.9826429639
2083.724474,1719.38877466382,84235.3109520548,84137.3218879935,83997.1171176058,84255.3027857877,84176.8008141968
2083.754953,1722.20703836245,84238.1292157534,84140.1401516922,83999.9353813045,84258.1210494863,84179.6190778954
2083.785431,1725.0252095953,84240.9473869863,84142.958322925,84002.7535525373,84260.9392207192,84182.4372491283
2083.81591,1727.84347329393,84243.7656506849,84145.7765866237,84005.5718162359,84263.7574844178,84185.2555128269
2083.846388,1730.66164452682,84246.5838219178,84148.5947578566,84008.3899874688,84266.5756556507,84188.0736840598
2083.876867,1733.47990822545,84249.4020856164,84151.4130215552,84011.2082511675,84269.3939193493,84190.8919477584
2083.907345,1736.29807945834,84252.2202568493,84154.2311927881,84014.0264224004,84272.2120905822,84193.7101189913
2083.937824,1739.11634315697,84255.0385205479,84157.0494564867,84016.844686099,84275.0303542808,84196.5283826899
2083.968302,1741.93451438986,84257.8566917808,84159.8676277196,84019.6628573319,84277.8485255137,84199.3465539228
2083.998781,1744.75277808845,84260.6749554794,84162.6858914182,84022.4811210305,84280.6667892123,84202.1648176214
2084.029259,1747.57094932134,84263.4931267123,84165.5040626511,84025.2992922634,84283.4849604452,84204.9829888543
2084.059738,1750.38921301997,84266.3113904109,84168.3223263497,84028.117555962,84286.3032241438,84207.8012525529
2084.090216,1753.20738425286,84269.1295616438,84171.1404975826,84030.9357271949,84289.1213953767,84210.6194237858
2084.120695,1756.02564795149,84271.9478253425,84173.9587612812,84033.7539908935,84291.9396590753,84213.4376874845
2084.151173,1758.84381918438,84274.7659965754,84176.7769325141,84036.5721621264,84294.7578303082,84216.2558587173
2084.181652,1761.66208288301,84277.584260274,84179.5951962127,84039.390425825,84297.5760940069,84219.074122416
2084.21213,1764.48025411586,84280.4024315068,84182.4133674456,84042.2085970579,84300.3942652397,84221.8922936488
2084.242609,1767.29851781449,84283.2206952055,84185.2316311442,84045.0268607565,84303.2125289384,84224.7105573475
2084.273087,1770.11668904738,84286.0388664383,84188.0498023771,84047.8450319894,84306.0307001712,84227.5287285803
2084.303566,1772.93495274601,84288.857130137,84190.8680660757,84050.663295688,84308.8489638699,84230.346992279
2084.334044,1775.7531239789,84291.6753013699,84193.6862373086,84053.4814669209,84311.6671351028,84233.1651635119
2084.364523,1778.57138767753,84294.4935650685,84196.5045010073,84056.2997306195,84314.4853988014,84235.9834272105
2084.395002,1781.38965137616,84297.3118287671,84199.3227647059,84059.1179943182,84317.3036625,84238.8016909091
2084.42548,1784.20782260901,84300.13,84202.1409359387,84061.936165551,84320.1218337329,84241.619862142
2084.455959,1787.02608630764,84302.9482636986,84204.9591996374,84064.7544292497,84322.9400974315,84244.4381258406
2084.486437,1789.84425754053,84305.7664349315,84207.7773708703,84067.5726004825,84325.7582686644,84247.2562970735
2084.516916,1792.66252123916,84308.5846986301,84210.5956345689,84070.3908641812,84328.576532363,84250.0745607721
2084.547394,1795.48069247205,84311.402869863,84213.4138058018,84073.2090354141,84331.3947035959,84252.892732005
2084.577873,1798.29895617068,84314.2211335617,84216.2320695004,84076.0272991127,84334.2129672945,84255.7109957036
2084.608351,1801.11712740353,84317.0393047945,84219.0502407333,84078.8454703455,84337.0311385274,84258.5291669365
2084.63883,1803.93539110216,84319.8575684931,84221.8685044319,84081.6637340442,84339.849402226,84261.3474306351
2084.669308,1806.75356233505,84322.675739726,84224.6866756648,84084.4819052771,84342.6675734589,84264.165601868
2084.699787,1809.57182603368,84325.4940034247,84227.5049393634,84087.3001689757,84345.4858371575,84266.9838655666
2084.730265,1812.38999726657,84328.3121746575,84230.3231105963,84090.1183402086,84348.3040083904,84269.8020367995
