"Composite depth","Magnetic susceptibility (MS)",,"Composite depth","Total reflectance (L*)"
"(m)","(SI)",,"(mm)","(%)"
160.75,7.93,,160.75,54.19
160.8,9.03,,160.8,52.8
160.87,10.73,,160.87,56.32
160.95,10.85,,160.95,52.49
161.04,10.48,,161.04,50.63
161.12,6.68,,161.12,51.74
161.18,6.43,,161.18,53.32
161.23,10.73,,161.23,59.74
161.28,6.55,,161.28,55.09
161.33,5.23,,161.33,53.27
161.4,6.85,,161.4,55.86
161.51,10.08,,161.51,50.38
161.61,10.85,,161.61,52.31
161.72,6.15,,161.72,52.45
161.81,7.05,,161.81,54.97
161.88,8.35,,161.88,53.35
161.95,10.58,,161.95,54.86
162.02,8.38,,162.02,56.89
162.11,10,,162.11,56.65
162.21,10.45,,162.21,56.67
162.31,10.88,,162.31,52.7
162.41,9.55,,162.41,51.1
162.49,7.45,,162.49,53.52
162.55,9.73,,162.55,59.97
162.62,7.9,,162.62,59.9
162.68,9.9,,162.68,58.79
162.77,11.63,,162.77,52
162.89,11.93,,162.89,53.72
163,7.13,,163,52.45
163.12,8.8,,163.12,50.92
163.21,5.53,,163.21,52.05
163.27,7.43,,163.27,54.6
163.34,9.65,,163.34,55.19
163.4,10.5,,163.4,53.5
163.48,8.9,,163.48,52.98
163.57,7.6,,163.57,53.45
163.66,13.88,,163.66,53.04
163.75,8,,163.75,53.91
163.83,4.73,,163.83,56.4
163.91,6.6,,163.91,57.79
164,7.55,,164,54.51
164.08,10.8,,164.08,52.17
164.17,10.5,,164.17,51.19
164.27,10.95,,164.27,51.09
164.36,11.6,,164.36,49.73
164.46,9.35,,164.46,52.32
164.54,10.4,,164.54,53.93
164.6,6.88,,164.6,53.8
164.66,5.78,,164.66,51.8
164.72,8.78,,164.72,54.82
164.79,9.68,,164.79,57.5
164.87,14.85,,164.87,58.34
164.95,15.4,,164.95,55.01
165.03,8.88,,165.03,55.28
165.09,7.38,,165.09,53.01
165.14,9.88,,165.14,56.65
165.18,9.95,,165.18,54.1
165.24,15.4,,165.24,50.59
165.33,10.38,,165.33,54.11
165.41,8.75,,165.41,54.95
165.49,7.68,,165.49,52.35
165.58,10.03,,165.58,56.19
165.64,4.53,,165.64,58.09
165.68,5,,165.68,57.46
165.72,5.6,,165.72,53.58
165.76,8.4,,165.76,59.31
165.82,7.25,,165.82,52.6
165.89,10.78,,165.89,54.12
165.96,12.05,,165.96,53.78
166.03,7.78,,166.03,53.23
166.09,7.6,,166.09,52.77
166.13,6.03,,166.13,54.83
166.17,6.95,,166.17,54.24
166.21,5.35,,166.21,56.52
166.27,9.63,,166.27,57.46
166.36,9.33,,166.36,56.14
166.45,8.3,,166.45,57.86
166.54,6.98,,166.54,54.75
166.61,5.93,,166.61,55.1
166.68,7.93,,166.68,54.7
166.74,8.23,,166.74,58.03
166.81,6.2,,166.81,54.79
166.89,6.13,,166.89,53.24
166.98,7.23,,166.98,51.92
167.07,10.58,,167.07,51.2
167.16,12.25,,167.16,53.83
167.23,4.75,,167.23,58.12
167.28,4.7,,167.28,54.21
167.33,6.15,,167.33,51.66
167.4,9.9,,167.4,54.71
167.49,11.83,,167.49,55.58
167.58,7.35,,167.58,55.31
167.65,7.38,,167.65,57.73
167.71,5.35,,167.71,58.23
167.77,7.15,,167.77,55.99
167.84,7.2,,167.84,57.07
167.93,7.78,,167.93,52.46
168.02,8.48,,168.02,52.15
168.11,6.63,,168.11,56.99
168.17,8.5,,168.17,58.56
168.22,7.05,,168.22,58.45
168.27,5.38,,168.27,58.49
168.32,5.23,,168.32,58.54
168.4,5.88,,168.4,57.68
168.52,10.83,,168.52,60.86
168.63,6.98,,168.63,56.95
168.72,5.33,,168.72,54.6
168.78,5.3,,168.78,58.95
168.83,4.5,,168.83,58.03
168.89,5.88,,168.89,54.95
168.98,10.05,,168.98,58.27
169.09,6.15,,169.09,56.1
169.2,5.1,,169.2,54.87
169.31,7.38,,169.31,53.63
169.4,7,,169.4,57.08
169.47,5.83,,169.47,55.78
169.54,7.15,,169.54,58.06
169.61,6.85,,169.61,53.53
169.7,9.95,,169.7,57.14
169.82,8.1,,169.82,57.65
169.95,7.73,,169.95,58.05
170.07,5.68,,170.07,54.72
170.16,9.08,,170.16,60.93
170.22,7.08,,170.22,51.35
170.28,5.33,,170.28,55.05
170.35,6.05,,170.35,56.55
170.44,6.55,,170.44,56.81
170.53,5.63,,170.53,56.91
170.62,9.28,,170.62,55.53
170.69,7.53,,170.69,54.88
170.76,7.3,,170.76,59.63
170.82,7.45,,170.82,57.24
170.9,4.43,,170.9,54.5
171.01,8.18,,171.01,57.38
171.12,10.03,,171.12,57.62
171.22,7.88,,171.22,53.67
171.33,5.4,,171.33,55.93
171.42,5.48,,171.42,58.66
171.5,6.2,,171.5,57.67
171.58,3.13,,171.58,54.77
171.66,6.18,,171.66,51.57
171.74,9.58,,171.74,52.29
171.83,8.93,,171.83,56.97
171.92,9.6,,171.92,55.92
172.02,7.7,,172.02,53.68
172.16,5.4,,172.16,55.85
172.26,4.88,,172.26,55.6
172.4,9.2,,172.4,53.13
172.46,10.43,,172.46,54.51
172.5,7.2,,172.5,56.28
172.62,7.2,,172.62,55.58
172.69,5.9,,172.69,53.44
172.74,5.48,,172.74,53.94
172.88,8.9,,172.88,56.85
172.99,9.65,,172.99,55.28
173.09,7.38,,173.09,55.16
173.27,5.75,,173.27,55.09
173.4,5.93,,173.4,57.1
173.53,6.95,,173.53,53.42
