proxy,site,sol,date,roll,window,RMSD,depth,age_floating,age_slider,kpg_age,age,value,long_ecc_filter,short_ecc_filter,comb_ecc_filter,ecc_sln
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,52.704811342592606,1390.0339843750003,-16.8,65900,67273.233984375,-0.9255431446117882,-0.16452562909959217,-0.0015183141204558395,0.8084701270431165,0.9933849583078616
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,52.79607060185186,1392.8339843750002,-16.8,65900,67276.033984375,-0.9128335716574402,-0.17155091424535762,-0.022340604759252758,0.9220925322910477,0.9192138347980333
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,52.88732986111112,1395.6339843750002,-16.8,65900,67278.833984375,-1.0448712046410216,-0.17835362484796743,-0.044256361578853674,1.0383045908220743,0.8348388158738563
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,52.97858912037037,1398.4339843750001,-16.8,65900,67281.633984375,-1.1192692865196487,-0.18491954075347466,-0.06691868942111857,1.1558004179441133,0.7435797894634771
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.06984837962964,1401.2339843750003,-16.8,65900,67284.43398437499,-0.46827532923753556,-0.19123477009770498,-0.08993016172901665,1.273097604775253,0.649863646260661
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.1611076388889,1404.0339843750003,-16.8,65900,67287.233984375,-0.06303904825483508,-0.19728577973934938,-0.11284756367079235,1.3885541373582628,0.5623043788141575
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.25236689814815,1406.8339843750002,-16.8,65900,67290.033984375,-0.6338270695143255,-0.20305942521345532,-0.13518866344404643,1.5003924734230158,0.4827784005794595
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.343626157407414,1409.6339843750002,-16.8,65900,67292.833984375,-0.7713937896100419,-0.20854298013569936,-0.15644101376935016,1.606730783494207,0.4195940970165997
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.43488541666667,1412.4339843750001,-16.8,65900,67295.633984375,-0.7496954226605556,-0.21372416498856003,-0.17607270614621634,1.705621082598379,0.38080546306168434
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.52614467592594,1415.2339843750003,-16.8,65900,67298.43398437499,-1.0529638673493524,-0.21859117522142169,-0.19354491659048645,1.7950936827880275,0.3649688315254629
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.617403935185195,1418.0339843750003,-16.8,65900,67301.233984375,-1.1654642699879587,-0.22313270859771625,-0.20832599649928568,1.8732070963611063,0.38605427570116874
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.708663194444455,1420.8339843750002,-16.8,65900,67304.033984375,-0.510019020909583,-0.22733799172345717,-0.21990677946471915,1.9381022272520227,0.4369373106931113
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.79992245370371,1423.6339843750002,-16.8,65900,67306.833984375,-0.6057827295965584,-0.23119680569292583,-0.22781669788303097,1.988059416323815,0.5241285767844674
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.89118171296297,1426.4339843750001,-16.8,65900,67309.633984375,-1.019345663982233,-0.23469951078884144,-0.23164023567435935,2.021556667883363,0.6404319754671767
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,53.982440972222236,1429.2339843750003,-16.8,65900,67312.43398437499,-0.21099211210547708,-0.23783707017607203,-0.2310331887695148,2.0373271917815305,0.7801433609834337
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.07370023148149,1432.0339843750003,-16.8,65900,67315.233984375,-0.1021194653500568,-0.24060107252983146,-0.2257381663499553,2.0344142589475576,0.9343776063259742
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.16495949074075,1434.8339843750002,-16.8,65900,67318.033984375,-0.0013533523246787443,-0.24298375354133636,-0.21559874580051122,2.01222129751565,1.0945032120002316
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.25621875000001,1437.6339843750002,-16.8,65900,67320.833984375,0.028520695448417704,-0.24497801624607976,-0.20057169501300043,1.9705551591098613,1.2511698884355966
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.34747800925927,1440.4339843750001,-16.8,65900,67323.633984375,-0.43091092241739937,-0.24657745012219745,-0.18073669841590376,1.9096605651385765,1.401431499984901
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.43873726851853,1443.2339843750003,-16.8,65900,67326.43398437499,-0.40722446614553653,-0.24777634890886494,-0.15630306845499645,1.8302439030688253,1.5384768662916612
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.52999652777779,1446.0339843750003,-16.8,65900,67329.233984375,-0.251441717126313,-0.24856972709725067,-0.12761299190550143,1.7334847815203611,1.6603524822872984
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.62125578703704,1448.8339843750002,-16.8,65900,67332.033984375,-1.0023212149697283,-0.24895333504926395,-0.09514094916030243,1.6210340664116123,1.762860765543408
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.7125150462963,1451.6339843750002,-16.8,65900,67334.833984375,-0.8168380540652265,-0.24892367270217278,-0.059489052427257424,1.4949975009476435,1.8453212610075338
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.803774305555564,1454.4339843750001,-16.8,65900,67337.633984375,0.032039980069963114,-0.24847800182011173,-0.02137817265208606,1.3579044496212502,1.9013727659349131
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.89503356481483,1457.2339843750003,-16.8,65900,67340.43398437499,0.537805916407951,-0.2476143567565546,0.01836513873818881,1.212661787540087,1.9338760869955447
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,54.986292824074084,1460.0339843750003,-16.8,65900,67343.233984375,0.5930209688232427,-0.2463315536949744,0.058825782863769605,1.0624934658986478,1.9381311904419252
