depth,magsus,reflec,d13C_VPDB,comment
13530.875,6.3,55.19315,NA,NA
13539.625,7.6,51.66985,NA,NA
13546.5,6,49.34125,1.861376600000007,NA
13553,6.2,50.85755,NA,NA
13561,12.4,54.7836,NA,NA
13569,7.7,52.0908,1.8374978000000013,NA
13577,8.5,53.45985,NA,NA
13585,10.7,50.6463,NA,NA
13594,12.4,53.6134,NA,NA
13604,9.8,54.09835,2.0667992000000055,NA
13614,9.1,51.9099,NA,NA
13624.75,7.6,46.9192,NA,NA
13636.25,8.4,53.11025,1.958325000000002,NA
13647.75,8,47.29745,NA,NA
13659.25,9.4,50.7243,NA,NA
13669,10.8,46.340475,NA,NA
13677,8.8,50.33705,1.608175799999998,NA
13685,9.7,47.6202,NA,NA
13693,5.8,48.43015,NA,NA
13700.833,7.7,59.2349,NA,NA
13708.5,10.1,52.43575,1.649772800000001,NA
13716.167,9.8,54.32815,NA,NA
13725.625,11,44.75475,NA,NA
13736.875,12.1,51.374267,1.7269754000000006,NA
13748.125,8.2,48.33525,NA,NA
13759.375,7.6,51.3221,NA,NA
13770.5,5.1,52.78815,NA,NA
13781.5,6.4,56.46105,1.778425200000008,NA
13792.5,9.3,49.8204,NA,NA
13805,9.5,45.0057,NA,NA
13819,12,57.25315,2.069728000000005,NA
13833,10.6,53.1128,NA,NA
13846,3.2,59.1454,NA,NA
13858,6.4,59.579,1.6468175999999985,NA
13870,7.6,51.25445,NA,NA
13882,5.8,52.0032,NA,NA
13893.625,13.4,55.5952,NA,NA
13904.875,11.2,55.68285,1.9348225000000028,NA
13916.125,8.6,56.292775,NA,NA
13927.375,8.2,47.27805,NA,NA
13940.125,6,46.81555,NA,NA
13954.375,6.1,51.4637,1.7300181000000023,NA
13968.625,7.3,50.3842,NA,NA
13982.875,9.9,52.8823,NA,NA
13995,9.2,55.78905,NA,NA
14005,9.6,55.39755,1.8624757000000045,NA
14015,6.4,59.516767,NA,NA
14027,7.9,57.6709,NA,NA
14041,7.5,56.33915,1.7424278000000086,NA
14055,9.1,54.02688,NA,NA
14069,9.4,55.52905,NA,NA
14080.625,9,49.49285,NA,NA
14089.875,6.4,52.92245,1.8867317000000057,NA
14099.125,10.9,46.84942,NA,NA
14108.375,13.1,53.552775,NA,NA
