depth,magsus,reflec,d13C_VPDB,comment
1886.188,9.6,44.8025,0.7775439000000048,NA
1899.313,8.3,46.2668,NA,NA
1912.438,12.5,51.4303,NA,NA
1923,10.6,50.7846,NA,NA
1931,10.4,54.7082,NA,NA
1939,7.5,48.4994,0.9554999460711807,NA
1947,7.9,52.9447,NA,NA
1955,9.4,50.3603,NA,NA
1969.625,11.9,49.2673,NA,NA
1980.875,12.3,46.3736,1.2293480000000017,NA
1992.125,13,46.822,NA,NA
2003.375,11,47.72,NA,NA
2014.278,13.5,46.3533,NA,NA
2024.833,11.2,53.4061,1.1592299000000068,NA
2035.389,8,44.2475,NA,NA
2045.944,8.6,46.3918,NA,NA
2056.5,13.5,48.4683,NA,NA
2067.056,13.3,44.3515,1.0253802000000007,NA
2077.611,13.2,45.667,NA,NA
2088.167,13.9,50.8454,NA,NA
2098.722,14.3,48.0694,NA,NA
2109.35,7,54.0293,NA,NA
2120.05,14.1,51.0327,0.8304994000000079,NA
2130.75,12.7,49.0206,NA,NA
2141.45,11.9,46.933,NA,NA
2152.15,12.6,47.0003,NA,NA
2162.85,13.9,49.6566,NA,NA
2173.55,15.6,47.3243,1.3127052999999975,NA
2184.25,17.4,44.1345,NA,NA
2194.95,12.7,41.6237,NA,NA
2205.65,12.9,47.8808,NA,NA
2216.833,14.5,48.9484,NA,NA
2228.5,16.4,50.3845,0.646749800000002,NA
2240.167,12.8,48.4161,NA,NA
2251.833,14.8,49.4472,NA,NA
2263.5,12.1,45.4031,NA,NA
2275.167,11.8,44.063,0.7475524999999976,NA
2286.833,10.8,51.461,NA,NA
2298.5,11.1,52.6217,NA,NA
2310.167,14.1,48.4185,NA,NA
2320.125,12,48.7167,NA,NA
2328.375,11.3,47.4562,1.2803360999999995,NA
2336.625,14.6,51.2346,NA,NA
2344.875,16.4,43.4715,NA,NA
2353.125,16.5,52.6248,NA,NA
2361.375,8.9,40.8978,0.9909176000000031,NA
2369.625,16,42.7521,NA,NA
2377.875,13.3,45.6002,NA,NA
2386.389,11.7,49.2548,0.9973031999999975,NA
2395.167,9.9,47.9872,NA,NA
2403.944,12.5,51.1083,NA,NA
2412.722,15,46.1751,NA,NA
2421.5,11.8,44.5265,NA,NA
2430.278,12.7,49.4477,1.0896167000000005,NA
2439.056,14.3,48.1467,NA,NA
2447.833,13,46.8286,NA,NA
2456.611,15.3,46.0467,NA,NA
2466.375,10.6,51.1815,NA,NA
2477.125,12.1,49.1942,1.0313184000000035,NA
2487.875,10.6,51.4621,NA,NA
2498.625,12.3,49.7481,NA,NA
2509.375,10.8,46.734,NA,NA
2520.125,9,47.6208,1.384004400000002,NA
2530.875,11.5,48.8783,NA,NA
2541.625,12.2,49.4894,NA,NA
2550.125,10.5,47.3181,NA,NA
2556.375,7.2,52.1894,1.2671790000000058,NA
2562.625,8,52.6576,NA,NA
2568.875,8.3,42.1452,NA,NA
2579.5,12.7,49.27295,NA,NA
2594.5,13.3,46.9776,1.5162190861090146,NA
2609.5,13.4,46.1792,NA,NA
2624.5,14.2,48.51455,NA,NA
2636,13.5,52.7139,NA,NA
2644,11.6,47.28625,1.5710346000000044,NA
2652,9.4,51.8772,NA,NA
2663.875,11.4,49.77375,NA,NA
2679.625,12.4,46.3957,1.381859200000001,NA
2695.375,19.7,50.51685,NA,NA
2711.125,8.7,57.17805,NA,NA
2731.75,6.6,50.38875,1.7322526999999965,NA
2741.25,11,54.76025,NA,NA
2752.25,15.1,50.8344,NA,NA
2764.75,16.4,52.28015,1.493056100000004,NA
2777.25,12.3,46.58715,NA,NA
2789.75,11.1,46.9016,NA,NA
2800.75,9.7,46.61645,1.4471868000000043,NA
2810.25,13.6,48.8188,NA,NA
2820.5,16.1,46.4887,NA,NA
2831.5,13.4,48.1375,1.5616113000000027,NA
2842.5,12.1,49.1772,NA,NA
2851.833,17,50.034633,NA,NA
2859.5,8.3,47.6685,1.6448263999999995,NA
2867.167,12.2,49.68435,NA,NA
2879.75,12.9,47.9134,NA,NA
2897.25,14.8,48.9562,1.3540256,NA
2917,17.7,45.25395,NA,NA
2930,11.6,47.5365,1.7719334000000018,NA
